# Program:featureCounts v2.0.2; Command:"/mnt/md127/bio-tools/featureCounts/subread-2.0.2-source/bin/featureCounts" "-T" "32" "-p" "-g" "gene_id" "-a" "/mnt/archive/Karol_organized_2020/NGSprint/genome/hg38.refGene.gtf" "-o" "FeatureCounts_all_reads.txt" "SRR6078274.sorted.bam" "SRR6078275.subread.sorted.bam" "SRR6078276.sorted.bam" "SRR6078291.subread.sorted.bam" "SRR6078292.sorted.bam" "SRR6078293.sorted.bam" 
Geneid	SRR6078274.sorted.bam	SRR6078275.subread.sorted.bam	SRR6078276.sorted.bam	SRR6078291.subread.sorted.bam	SRR6078292.sorted.bam	SRR6078293.sorted.bam
DDX11L1	2	4	2	0	0	4
WASH7P	254	260	198	175	211	199
MIR6859-1	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0
MIR6859-3	0	0	0	0	0	0
MIR6859-4	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0
MIR1302-9	0	0	0	0	0	0
MIR1302-10	0	0	0	0	0	0
MIR1302-11	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0
LOC729737	1	1	2	6	2	2
LOC102725121	12	15	7	8	15	12
FAM138D	0	0	0	0	0	0
TGIF1	2337	2190	1701	1113	2152	3460
PRDX6	9178	8572	12820	11418	11614	7099
LOC100132287	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0
CIC	1224	2634	1219	2781	2055	2791
LOC100133331	9	3	3	2	7	15
LOC100288069	10	9	13	29	14	23
FAM87B	34	24	16	28	25	106
LINC00115	27	22	34	45	51	84
LINC01128	389	351	358	524	352	793
FAM41C	0	0	0	0	2	2
LINC02593	130	56	73	162	74	36
LILRA4	0	0	0	0	0	0
PLEC	45718	84646	47155	42781	25916	63813
PLEKHN1	30	37	26	14	16	20
MPP2	174	207	131	251	229	319
CFTR	4	4	0	0	0	3
C1QB	0	0	0	0	0	0
ELN	32131	7817	3354	38888	72190	24865
SEPTIN12	0	0	0	0	1	0
RBM19	1489	1965	1456	1808	1282	1821
CCDC120	59	121	63	114	102	54
GUCA2A	0	0	0	0	0	0
INO80D	815	1242	957	1353	1093	1505
CCDC34	234	405	197	231	274	668
C12orf43	451	521	433	505	475	638
LOC100288175	0	6	13	0	1	2
LILRB5	0	0	0	0	0	0
CCDC169	16	16	16	28	23	41
CLRN1	0	0	0	0	0	0
SPDYE17	0	0	0	1	0	0
LINC01342	0	0	0	0	0	0
RAD17	1039	1348	972	1214	1278	1301
SH2D3C	6	2	4	8	5	0
ZNF41	628	795	454	744	655	658
VPREB1	0	0	0	0	0	0
VIL1	4	4	5	2	0	5
MDK	705	1388	2045	1311	539	1527
AMELX	4	0	0	0	0	0
ALOX15B	0	2	0	0	0	0
SLC25A1	2162	3068	2841	2599	1797	3259
DUSP9	0	0	0	0	0	0
UQCC3	353	265	366	355	204	357
MORC4	1594	2064	1674	2587	1405	2595
SCNN1D	277	275	234	284	231	152
MRTFB	297	671	462	440	477	989
MIR6726	0	0	1	0	0	0
SNORD167	32	37	28	46	16	31
PUSL1	452	585	565	503	395	446
MSRB3	6619	6633	5697	14439	10317	7050
FGFR3	17	30	30	2	21	34
EWSR1	3583	5225	4001	4276	4648	4944
TMA7	1025	895	1014	843	698	1149
MIR6727	0	0	1	1	0	1
SMR3A	0	0	0	0	0	0
NUPR1	5774	4914	5855	8311	8500	4468
OSTF1	977	1447	906	1243	1228	2578
ORC3	946	1107	950	972	689	1853
MIR6808	0	0	0	0	0	0
MXRA8	16241	20451	15764	22163	14954	19144
SERPINC1	0	0	0	4	0	4
SPRED2	746	1619	614	1258	1239	1272
AK8	22	31	9	22	18	20
GALNS	1234	1848	1280	1758	983	1755
FBXW8	977	1409	731	1039	1091	1299
IKBKG	277	339	150	300	237	425
PSME1	3995	4812	4159	1783	1448	2456
SETDB1	1675	1993	1571	1805	1825	1548
VSTM1	0	0	0	0	0	0
MRPL20-AS1	612	534	488	597	584	498
PAQR3	2422	4249	3782	2819	4007	3806
LINC01770	2	6	2	0	8	2
KIR2DL4	0	0	0	0	0	0
CARD8	597	822	624	721	687	896
PPIP5K2	3330	3928	2897	3962	2825	5045
ST18	5	0	2	4	0	2
LOC105378586	4	10	3	0	0	2
IFT81	997	1598	922	1226	1102	1258
ASAP3	3743	3450	3659	2476	1503	3148
CRELD1	405	663	317	633	912	645
NLRP2	0	0	0	0	0	0
ZNF232	223	179	226	247	171	189
MMP23A	2	9	4	2	2	2
CAST	9663	13251	7180	8092	8571	12460
SCN1A	595	270	34	211	48	29
AASDH	926	787	733	713	549	826
SUMO3	4048	4276	3097	4982	3774	6187
CYP21A2	40	0	3	0	2	1
AFP	2	4	9	12	10	2
AFM	0	0	0	0	0	0
CASP3	1604	1661	1539	1518	1243	2204
CALD1	42336	77308	56781	128683	203914	66845
TARM1	0	0	0	0	0	0
IDE	3465	4239	2856	4756	3387	3225
DAXX	1961	1809	2107	1874	1347	2214
SGCE	3295	3042	3046	3180	1736	4342
HLA-C	16693	15650	10613	7875	14743	7539
CNTD1	15	33	13	56	34	18
EBAG9	432	322	347	493	439	413
ZNF208	103	39	0	298	29	9
IGF1	160	6	12	328	555	70
SLC11A2	2015	2616	1605	2299	1747	2427
CD4	32	50	39	161	90	20
RMDN2	582	456	348	626	426	526
CENPX	525	541	544	440	187	1002
OGFOD3	1736	1125	1418	1117	868	1136
SLC25A39	1794	2208	1876	2550	1810	2826
ELP4	376	521	502	536	448	448
C2	422	737	324	622	324	733
TSNARE1	308	467	412	412	274	356
TDRP	8	71	54	72	47	63
ZKSCAN7	271	310	255	344	225	312
RAB5C	3977	4098	2917	3620	3383	6873
LOC105378591	0	0	0	0	0	0
RRAGB	665	841	612	884	444	529
ELF3-AS1	4	4	6	7	3	10
MIR411	2	1	3	3	1	2
RDH13	259	240	208	328	203	163
ULK3	749	925	964	1171	697	1019
GTF2IP20	73	88	72	102	92	97
LINC01611	0	0	2	0	0	2
PRKCZ-AS1	6	1	9	14	14	4
MGST2	238	119	231	340	129	183
YJEFN3	42	60	48	52	54	41
FBXO11	1929	2617	1917	2481	2271	2498
FAAP20	783	969	853	949	744	678
ATG16L1	1418	1635	1096	1431	1508	1654
NFIC	507	1305	786	985	1053	1523
PBRM1	4316	5560	3648	4371	4680	6258
LOC100129534	59	56	28	73	47	56
PRDM15	520	684	583	562	617	615
ZNF311	82	82	139	91	73	53
KIR2DS1	0	0	0	0	0	0
CPA4	249	110	131	33	60	144
ADCY3	2369	3382	2202	3464	1802	3048
HROB	54	79	90	59	75	406
PLCH2	6	12	11	14	9	7
TNFSF8	2	1	0	0	12	2
TNFRSF14-AS1	56	56	64	57	23	21
LOC100996583	2	1	0	2	5	2
CRCP	1646	1966	1693	1378	1243	2450
SARS1	14343	13245	13644	11871	15053	8875
SORD	166	297	201	114	146	351
RMDN3	1259	1201	916	1481	1369	1218
RNF5	584	327	451	804	805	771
COPG2	1323	1867	1111	1153	857	1321
EPN3	75	55	42	95	38	54
PRDM16-DT	4	0	0	6	4	8
BAG6	4711	7189	4536	5423	5107	6859
ZNF14	327	285	291	267	206	260
MIR4251	0	0	0	0	0	0
MIR551A	0	0	0	0	2	0
ADCY6	2338	2790	1955	4342	3501	2746
PPP1CC	3096	5286	4185	4198	3549	5390
ILF3	5977	9141	6945	6679	5692	7992
C19orf44	245	282	209	301	237	225
KLF7	1296	2895	1474	2728	3661	2395
CHRAC1	287	544	284	398	418	597
FOXD3	0	0	0	9	258	0
FKBP8	9873	14416	8543	9803	8816	11391
BZW1	5727	6037	5368	4574	3523	7688
LRRC28	441	487	285	522	442	442
MADD	1542	2204	1534	2012	1807	2207
