"","SRR6078283.bam","SRR6078284.bam","SRR6078285.bam","SRR6078300.bam","SRR6078301.bam","SRR6078302.bam"
"DDX11L1",0,0,1,0,0,18
"WASH7P",86,64,94,73,59,409
"MIR6859-1",3,2,4,1,3,22
"MIR1302-2HG",0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0
"FAM138A",0,0,0,0,0,1
"OR4F5",0,0,0,0,0,0
"LOC100996442",2,2,4,1,5,15
"LOC729737",1,0,0,1,5,10
"LOC102725121",5,2,1,2,10,29
"LOC102723897",116,88,78,90,64,502
"MIR6859-2",0,0,0,0,1,11
"LOC107985721",0,0,0,0,0,1
"LOC112268260",0,1,0,3,0,10
"OR4F29",0,0,0,0,0,0
"LOC100132287",0,2,1,0,0,14
"LOC105378947",0,0,0,0,0,1
"LOC101928626",0,0,0,0,0,1
"OR4F16",0,0,0,0,0,5
"LOC100133331",2,3,2,3,4,13
"LOC107984841",1,3,1,2,2,13
"LOC107984847",1,1,0,1,6,9
"LOC107984849",0,0,0,0,0,3
"LOC100288069",9,7,14,7,16,29
"LOC105378580",28,28,23,13,19,60
"FAM87B",11,15,10,33,23,25
"LINC00115",16,14,12,14,14,31
"LINC01128",176,132,139,198,256,294
"LOC107984850",0,1,1,0,2,0
"FAM41C",0,0,0,0,0,1
"LOC284600",7,9,13,26,20,17
"LINC02593",16,22,35,73,52,38
"LOC107985728",34,23,51,136,84,54
"SAMD11",48,87,108,270,132,63
"NOC2L",852,1449,984,1119,1212,1106
"KLHL17",242,254,273,320,250,323
"PLEKHN1",13,25,24,44,25,17
"PERM1",1,2,1,0,0,0
"HES4",0,79,37,2,14,3
"ISG15",317,522,291,287,171,267
"AGRN",1911,1706,2804,904,1456,1897
"LOC100288175",0,0,1,0,2,0
"LOC112267874",0,0,1,0,0,0
"LOC105378948",0,0,2,1,1,0
"RNF223",0,0,0,0,1,0
"C1orf159",123,113,162,201,195,231
"LINC01342",0,0,0,0,0,0
"MIR200B",0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0
"MIR429",0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0
"TNFRSF18",4,0,2,6,9,0
"TNFRSF4",5,8,3,5,5,8
"SDF4",3249,3344,4843,5762,4870,5685
"B3GALT6",456,691,717,673,690,668
"C1QTNF12",14,8,20,24,27,15
"UBE2J2",531,591,695,739,761,786
"LINC01786",69,44,55,35,40,79
"SCNN1D",138,94,147,51,85,180
"ACAP3",1247,1171,1374,1385,1178,2101
"MIR6726",0,0,0,0,1,1
"SNORD167",0,0,0,0,0,0
"PUSL1",198,255,294,299,213,294
"INTS11",882,810,982,988,1087,1138
"MIR6727",0,1,0,0,0,5
"CPTP",243,227,294,522,387,405
"TAS1R3",64,73,69,76,54,105
"DVL1",1197,1715,1622,2370,1722,1654
"MIR6808",0,1,0,0,0,0
"MXRA8",4791,5473,10656,12642,10149,10036
"AURKAIP1",527,785,797,1052,978,758
"CCNL2",4409,4488,4359,3716,3772,5672
